Row,z_1,z_2
bnd_pnt_1,-13.1880446955194,12.5702296034066
bnd_pnt_2,-14.7967678130156,11.4975722520233
bnd_pnt_3,-21.2487609851354,6.63081656813037
bnd_pnt_4,-22.2557445523985,5.83418595270359
bnd_pnt_5,-23.3818769170124,3.95381447435614
bnd_pnt_6,-24.8028621147078,0.663130847774984
bnd_pnt_7,-25.1165435417823,-0.543839047438932
bnd_pnt_8,-25.3715563455783,-2.26228994162831
bnd_pnt_9,-25.014498557157,-5.1925728616123
bnd_pnt_10,-22.0602816216945,-11.3741542297095
bnd_pnt_11,-21.9014630908583,-11.6971712760154
bnd_pnt_12,-21.4989821182122,-11.9703881193062
bnd_pnt_13,-19.694086874634,-13.1835311693912
bnd_pnt_14,-18.5635868638914,-13.9408224130226
bnd_pnt_15,-13.997745108171,-16.0462236634983
bnd_pnt_16,-10.3875221705657,-17.1938173871818
bnd_pnt_17,-9.63923870999576,-17.3452074697332
bnd_pnt_18,-8.44157053951083,-17.3644327390684
bnd_pnt_19,-6.71307086318945,-17.3766388058788
bnd_pnt_20,-0.98931453290125,-17.3832156090569
bnd_pnt_21,6.57103115065009,-16.4206889177505
bnd_pnt_22,7.65415806100078,-16.2581619519287
bnd_pnt_23,10.0727834879209,-15.5292254210339
bnd_pnt_24,10.8149891074198,-15.0565497256722
bnd_pnt_25,11.2050933121945,-14.8057832183387
bnd_pnt_26,12.8138164296906,-13.7331258669554
bnd_pnt_27,19.2658096018104,-8.86637018306247
bnd_pnt_28,20.2727931690735,-8.06973956763569
bnd_pnt_29,21.3989255336874,-6.18936808928824
bnd_pnt_30,22.8199107313829,-2.89868446270708
bnd_pnt_31,23.1335921584573,-1.69171456749317
bnd_pnt_32,23.3886049622534,0.0267363266962071
bnd_pnt_33,23.031547173832,2.9570192466802
bnd_pnt_34,20.0773302383695,9.1386006147774
bnd_pnt_35,19.9185117075334,9.46161766108331
bnd_pnt_36,19.5160307348872,9.73483450437412
bnd_pnt_37,17.711135491309,10.9479775544591
bnd_pnt_38,16.5806354805664,11.7052687980905
bnd_pnt_39,12.014793724846,13.8106700485662
bnd_pnt_40,8.40457078724067,14.9582637722497
bnd_pnt_41,7.65628732667078,15.1096538548011
bnd_pnt_42,6.45861915618585,15.1288791241363
bnd_pnt_43,4.73011947986446,15.1410851909467
bnd_pnt_44,-0.993636850423734,15.1476619941248
bnd_pnt_45,-8.55398253397508,14.1851353028184
bnd_pnt_46,-9.63710944432577,14.0226083369966
bnd_pnt_47,-12.0557348712458,13.2936718061018
bnd_pnt_48,-12.7979404907448,12.8209961107401
bnd_pnt_49,-13.1880446955194,12.5702296034066
